Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
55.764168	37.606323	Вареничная №1	ул. Тверская, 14, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.773	37.63018	BeerNation	Малая Сухаревская Пл., 8, Москва 127051 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.721844	37.62156	Кафе Блан де Блан	ул. Люсиновская, 36/50, Москва 115093 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.67894	37.635956	Sky Food Cafe	1-ый Нагатинский проезд, дом 11 к.1, Москва 115533 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.79032	37.544456	Черетто	Ленинградский проспект, 37 корп. 6, Москва 125167 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.74618	37.580166	Сахалин	Смоленская, 8 Гостиница Azimut, Москва 121099 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.756016	37.62738	15/17 Bar&Grill	Большой Черкасский пер., 15/17, стр.1, Москва 109012 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.756966	37.620327	Старая Башня	Театральная площадь, 5/1, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.777687	37.63323	Хачапури	Проспект Мира, 26/1, Москва 129090 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.701855	37.50655	Wine Religion Вино и Гастробар	Мичуринскии проспект 16, Москва 119192 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.802002	37.531254	Корчма Тарас Бульба	Ленинградский проспект, д. 64 (заезд с улицы Черняховского), Москва 125319 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.731453	37.59017	Винный базар	Комсомольский проспект, 14/1-2, Москва Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.74612	37.579952	Ресторан  #СИБИРЬСИБИРЬ	ул. Смоленская, 8 Гостиница Azimut, Москва 121099 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
