Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
61.81204	34.26418	Planet	Жуковского, 12а, Петрозаводск 185013 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.775215	34.307163	Doppio	Лесной проспект, 47А, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.778347	34.351852	Час Пик	Лососинская, 14, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77739	34.34029	Чирс	Лососинское шоссе, 38 корп. 1, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78014	34.35759	Ресторан Креветочка	Анохина, 26, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78815	34.36534	Sushi Club	пр. Ленина, 30, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.70844	30.69946	Sunrise	ул.Бондарева 9Б, Сортавала 186792 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.75804	34.3726	Gastrobar 1939	ул. Энгельса, 6, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
60.97842	32.97682	Суши Тайм	ул. Ленина 21, Олонец 186000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.835155	34.309452	Сказка	Соломенское шоссе, 18, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
64.955124	34.60464	Кафе "Каприз"	пр. Пролетарский, д. 25, Кемь Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76183	34.43572	Суши Пицца Птз	ул. Нойбранденбургская, 6/3 Lososinskoye shosse, 26, Петрозаводск 185033 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.75933	34.31717	Мангал	Интернационалистов бульвар, 17, Петрозаводск 185016 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.778667	34.366062	Самобранка	ул. Маршала Мерецкова, д. 11 (ТРЦ "Тетрис", 4 этаж), Петрозаводск 185030 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78148	34.36383	Центрум	Антикайнена, 22, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76124	34.32193	Крым	Лесной проспект, д. 47а комплекс ЛОТОС PLAZA, 3 этаж, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.69751	30.67963	Калевала	ул. Карельская, 12, Сортавала 186790 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.68408	34.175236	Ресторан Корсар	пляж оз. Лососинное, Петрозаводск 185506 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.849	34.34349	Веселый Пекарь	Труда, 5, Петрозаводск 185032 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78832	34.38019	Соцпитсервис	Куйбышева, 5, Петрозаводск 185910 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78608	34.39403	Ассоль	ул. Ригачина, д. 11, Петрозаводск 185005 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.75572	34.4265	Время Есть	Гвардейская, 27, Петрозаводск 185034 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78791	34.33749	Ланч	ул. Чапаева, д. 3д, Петрозаводск 185002 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78791	34.33749	Бистро на Чапаева	Чапаева, 3, Петрозаводск 185002 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.765663	34.31539	ШашлыкоFF	Лососинское шоссе, д.26, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76124	34.32193	Ширван	Лесной проспект, 51, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.765705	34.38718	Фреш Кафе	Ровио, 15, Петрозаводск 185026 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.7725	34.42474	Сибирячка	Онежской Флотилии, 49, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
64.5922	30.61202	ШАРПЕЙ	Антикайнена, 22, Костомукша 186930 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
64.58509	30.591719	PIZZA RUSSO	Интернациональная,  8а, Костомукша 186931 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
60.97693	32.969486	Villaggio	Свирских Дивизий, 9, Олонец 186000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77108	34.31474	Бочка	Древлянка, 18, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.80776	36.55394	Кафе "КУМИР"	Ленина, 70, Пудож 186150 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76385	34.40299	Бочонок	Белинского, 7в, Петрозаводск 185011 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.778347	34.351852	Гам Кафе	Лососинская, 14 стр. 5, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.20147	34.25543	Сушишоп	Пролетарская,  7, Кондопога 186225 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77746	34.35254	De Facto	Коммунальная, 1, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.778667	34.366062	Fresh Burger	Маршала Мерецкова, 11, Петрозаводск 185030 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.788105	34.363476	Fuad	Фридриха Энгельса, 13, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.21086	34.25716	Truck Stop КАРЕЛИЯ	Петрозаводске ш.,  д. 9, Кондопога 186220 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.77873	34.35537	Лагиламба	Красноармейская, 20Б, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.79323	34.34814	Cinema	Первомайский проспект, 2, Петрозаводск 185001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.797	34.35418	Вертолет	Октябрьский проспект, 14, Петрозаводск 185031 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.19942	34.26254	Фара'ON	ул. Комсомольская, 8, Кондопога 186222 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76079	34.32195	Долина	Хейкконена, 39, Петрозаводск 185016 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.797	34.35418	Корица	Октябрьский проспект, 22Б, Петрозаводск 185031 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76259	34.44294	Место встречи	Ключевая, 14, Петрозаводск 185034 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76451	34.30388	Озан	Попова, 7Б, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.7725	34.42474	Д?Нер	Онежской Флотилии, 29а, Петрозаводск 185005 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78804	34.37614	Fudziyama	Кирова, 8а, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78623	34.345207	Чебуречная	Шотмана, 48Б, Петрозаводск 185001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76846	34.38562	Матрешка	Балтийская, 21, Петрозаводск 185026 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78595	34.36033	Пятница	Максима Горького, 25, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.79323	34.34814	Смайл	Первомайский проспект, 4Б, Петрозаводск 185001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.76183	34.43137	Прагма+	Корабелов, 32, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.80909	34.32228	Онежское	Григорьева, 7, Петрозаводск 185031 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.81828	34.31007	Шашлычный двор	Соломенское шоссе, 12, Петрозаводск Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.7774	34.34049	Сушишоп	Лососинское,  28, Петрозаводск 185014 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.778667	34.366062	Якудза	Маршала Мерецкова, 11, Петрозаводск 185030 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78623	34.345207	Железнодорожный	Шотмана, 48Б, Петрозаводск 185001 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
