с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
10475218,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,31 параллель,"ул. Ленина, 219/8, Адлер, Сочи Россия",43.469013,39.895004
21173355,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,Бар,Plutus,"​Приморская, 3/7а, Сочи 354000 Россия",43.57872,39.720303
13189586,2020-12-15,Краснодарский край,Краснодар,Рестораны,,Кафе,Баскин Робинс,"улица Красная ,17, Краснодар Россия",45.06146,38.88753
15037712,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Одиссей,"пер. Морской, 9/1, Сочи 354000 Россия",43.578728,39.72779
17794700,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,"Лаунж Бар ""Обои""","Партизанская, 1/3, Лазаревское, Сочи 354200 Россия",43.91062,39.3334
16831750,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,PhoBo,"Головатого, 313, Краснодар 350000 Россия",45.04547,38.93153
6024575,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Pro Sushi,"Ставропольская, 97/1, Краснодар 350040 Россия",45.0126,38.97962
8020621,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Кафе Лунный камень,"ул. Красная, 111/1, Краснодар Россия",45.03721,38.97476
13848593,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Гирос Мастер,"ул. Ставропольская, д. 109/1, Краснодар 350040 Россия",45.01524,38.98628
6025255,2020-12-15,Краснодарский край,Мысхако,Рестораны,,,Арцах,"Шоссейная, 1Б, Мысхако 353993 Россия",44.66116,37.75689
6002860,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,Фастфуд,Крошка-Картошка,"Новая Заря, 7, Сочи 354068 Россия",43.60575,39.73202
8350137,2020-12-15,Краснодарский край,Геленджикский район,Рестораны,,,Столовая №7,"Горная, 5, Геленджик 353465 Россия",44.574,38.073864
14190291,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Кафе МиМоЗа,"ул. Учительская, 3, Сочи 354002 Россия",43.572735,39.73526
8547097,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Максимус,"Дальний проезд, д. 5, Краснодар 350078 Россия",45.063423,38.962627
8347039,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Катюша,"Российская, 115, Краснодар 350029 Россия",45.04588,39.01839
12278837,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,"Бар,Паб",Радиохeд Бар,"ул. Чайковского, 34, Сочи 354065 Россия",43.59375,39.71996
8349171,2020-12-15,Краснодарский край,Краснодар,Рестораны,,,Рататуй,"Ангарская, 1/8, Краснодар 350072 Россия",45.08131,39.00484
10524465,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,"Ресторан-бар ""Las Salinas""","Бестужева, 1/1 ТРЦ ""Мандарин"", Сочи 354340 Россия",43.417973,39.922638
6002741,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,Фастфуд,Пекан,"Чкалова, 12, Сочи 354364 Россия",43.47679,39.89665
6002778,2020-12-15,Краснодарский край,Большой Сочи,Рестораны,,,Рандеву,"Курортный проспект, 50, Сочи 354000 Россия",43.5872,39.71507
8350618,2020-12-15,Краснодарский край,Краснодар,Рестораны,,Фастфуд,Теремок,"Стасова, 182, Краснодар 350075 Россия",45.00129,39.02417
14534988,2020-12-15,Краснодарский край,Новороссийск,Рестораны,,,Перцы,"ул. Советов 55, Новороссийск 353900 Россия",44.7142,37.781227
